Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,2,AR  120812,FT MEADE,7901.167,-169.13,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,173.52,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,3,AR  130712,FT DETRICK,7901.167,-196.68,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,136.49,68,30000,3.59,37.2,30.98,37.23,30041.36,207.79,142,40,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,4,AR  130728,FT DETRICK,7901.167,-198.68,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.79,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,5,AR  130756,FT DETRICK,7901.167,-196.68,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.79,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,6,AR  130766,FT MEADE,7901.167,-169.13,V,0,0,0,IRF MASK,0,22.73,94,0,0,62,141.44,72,30000,3.59,37.2,58.13,41.95,92706.77,173.52,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,7,AR  130767,FT MEADE,7901.167,-167.13,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,141.26,68,30000,3.59,37.2,58.13,41.95,92706.77,173.52,145,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,8,AR  210709,FT MEADE,7901.302,-178.69,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,148.85,68,30000,3.59,37.2,58.13,41.95,92706.77,174.07,107,11,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,9,AR  130729,FT DETRICK,7976.687,-196.88,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.99,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,10,AR  170763,FT MEADE,7998.822,-171.63,V,0,0,0,IRF MASK,0,21.02,40000,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,174.3,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,11,AR  210737,FT MEADE,8023.562,-169.97,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,174.36,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,12,AR  170790,FT DETRICK,8026.167,-199.07,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,139.02,68,30000,3.59,37.2,30.98,37.23,30041.41,208.18,144,38,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,13,AR  180715,FT MEADE,8026.167,-169.98,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,141.44,68,30000,3.59,37.2,58.13,41.95,92706.77,174.37,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,14,AR  180711,FT MEADE,8045.237,-167.35,V,0,0,0,IRF MASK,0,25.41,5510,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,174.41,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,15,AR  180714,FT MEADE,8078.271,-162.29,V,0,0,0,IRF MASK,0,30.54,7150,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,174.49,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,16,AR  170772,FT MEADE,8123.35,-168.24,V,0,0,0,IRF MASK,0,24.7,741.42,0,0,57,141.44,67,30000,3.59,37.2,58.13,41.95,92706.77,174.6,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,17,AR  130819,FT MEADE,8143.442,-171.11,V,0,0,0,IRF MASK,0,21.88,1940,0,0,58,141.44,68,30000,3.59,37.2,58.13,41.95,92706.77,174.64,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,18,AR  210736,FT MEADE,8151.167,-170.27,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,174.66,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,19,AR  170769,FT MEADE,8180.4,-178.07,V,0,0,0,IRF MASK,0,15,1000,0,0,57,141.44,67,30000,3.59,37.2,58.13,41.95,92706.77,174.73,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,1,N   153584,ST INIGOES,7900,-167.54,V,0,0,0,IRF MASK,0,53.38,6880,0,0,40,140.56,50,30000,3.59,37.3,130.78,62,178762.03,182.63,144.3,39,14,0.1,-999,324.8,-0.4
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,2,AR  120812,FT MEADE,7901.167,-193.34,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,51,68,30000,3.59,37.3,103.56,60.63,83758.52,179.14,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,3,AR  130712,FT DETRICK,7901.167,-202.46,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,121.01,68,30000,3.59,37.3,79.14,41.65,18460.54,209.24,142,40,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,4,AR  130728,FT DETRICK,7901.167,-203.89,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,28.66,67.43,30000,3.59,37.3,79.14,41.65,18460.54,209.24,249,17,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,5,AR  130756,FT DETRICK,7901.167,-201.89,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,28.66,67.43,30000,3.59,37.3,79.14,41.65,18460.54,209.24,249,17,14,0.1,-999,273.2,1.3
