Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,9,AR  130729,FT DETRICK,7976.687,-182.88,V,0,0,0,IRF MASK,21.1,24.73,94,0,0,58,129.79,68,30000,0,40.3,4.77,24.94,22816.5,191.82,249,17,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,10,AR  170763,FT MEADE,7998.822,-199.79,V,0,0,0,IRF MASK,6,21.02,40000,0,0,58,60.51,68,30000,0,40.3,174,66,44837.99,179.11,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,11,AR  210737,FT MEADE,8023.562,-198.13,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,60.51,68,30000,0,40.3,174,66,44837.99,179.16,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,12,AR  170790,FT DETRICK,8026.167,-185.03,V,0,0,0,IRF MASK,21.1,22.73,94,0,0,58,44.94,68,30000,0,40.3,4.78,24.94,22816.53,191.97,144,38,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,13,AR  180715,FT MEADE,8026.167,-198.14,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,139.52,68,30000,0,40.3,174,66,44837.99,179.17,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,14,AR  180711,FT MEADE,8045.237,-195.5,V,0,0,0,IRF MASK,6,25.41,5510,0,0,58,60.51,68,30000,0,40.3,174,66,44837.99,179.21,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,15,AR  180714,FT MEADE,8078.271,-190.44,V,0,0,0,IRF MASK,6,30.54,7150,0,0,58,60.51,68,30000,0,40.3,174,66,44837.99,179.28,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,16,AR  170772,FT MEADE,8123.35,-196.38,V,0,0,0,IRF MASK,6,24.7,741.42,0,0,57,139.52,67,30000,0,40.3,174,66,44837.99,179.38,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,17,AR  130819,FT MEADE,8143.442,-199.25,V,0,0,0,IRF MASK,6,21.88,1940,0,0,58,139.52,68,30000,0,40.3,174,66,44837.99,179.43,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,18,AR  210736,FT MEADE,8151.167,-198.42,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,60.51,68,30000,0,40.3,174,66,44837.99,179.45,249,16,302,0,-999,308,0.2
