Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,57,AR  170769,FT MEADE,8180.4,-183.6,V,0,0.04,0,IRF MASK,19.5,15,1000,0,0,57,138.35,67,30000,0,40.3,2.78,24.94,77050.13,184.5,144,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,39,N   153584,ST INIGOES,7900,-167.28,V,0,0,0,IRF MASK,6,53.38,6880,0,0,40,139.38,50,30000,0,40.3,147.21,66,149261.27,178.96,144.3,39,302,0,-999,334.8,-0.4
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,40,AR  120812,FT MEADE,7901.167,-190.86,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,60.52,68,30000,0,40.3,173.99,66,44820.1,171.89,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,41,AR  130712,FT DETRICK,7901.167,-177.77,V,0,0,0,IRF MASK,21.1,24.73,94,0,0,58,45.56,68,30000,0,40.3,4.77,24.94,22816.5,186.71,142,40,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,42,AR  130728,FT DETRICK,7901.167,-179.77,V,0,0,0,IRF MASK,21.1,22.73,94,0,0,58,129.79,68,30000,0,40.3,4.77,24.94,22816.5,186.71,249,17,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,43,AR  130756,FT DETRICK,7901.167,-177.77,V,0,0,0,IRF MASK,21.1,24.73,94,0,0,58,129.79,68,30000,0,40.3,4.77,24.94,22816.5,186.71,249,17,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,44,AR  130766,FT MEADE,7901.167,-190.86,V,0,0,0,IRF MASK,6,22.73,94,0,0,62,139.52,72,30000,0,40.3,173.99,66,44820.1,171.89,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,45,AR  130767,FT MEADE,7901.167,-188.86,V,0,0,0,IRF MASK,6,24.73,94,0,0,58,139.18,68,30000,0,40.3,173.99,66,44820.1,171.89,145,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,46,AR  210709,FT MEADE,7901.302,-207.3,V,0,0,0,IRF MASK,6,13.73,94,0,0,58,156.29,68,30000,0,40.3,173.99,66,44820.11,179.33,107,11,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,47,AR  130729,FT DETRICK,7976.687,-177.98,V,0,0,0,IRF MASK,21.1,24.73,94,0,0,58,129.79,68,30000,0,40.3,4.77,24.94,22816.5,186.92,249,17,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,48,AR  170763,FT MEADE,7998.822,-200.26,V,0,0,0,IRF MASK,6,21.02,40000,0,0,58,60.52,68,30000,0,40.3,173.99,66,44820.11,179.58,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,49,AR  210737,FT MEADE,8023.562,-198.61,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,60.52,68,30000,0,40.3,173.99,66,44820.11,179.64,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,50,AR  170790,FT DETRICK,8026.167,-179.95,V,0,0,0,IRF MASK,21.1,22.73,94,0,0,58,44.94,68,30000,0,40.3,4.78,24.94,22816.53,186.89,144,38,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,51,AR  180715,FT MEADE,8026.167,-198.62,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,139.52,68,30000,0,40.3,173.99,66,44820.11,179.65,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,52,AR  180711,FT MEADE,8045.237,-195.98,V,0,0,0,IRF MASK,6,25.41,5510,0,0,58,60.52,68,30000,0,40.3,173.99,66,44820.11,179.69,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,53,AR  180714,FT MEADE,8078.271,-190.93,V,0,0,0,IRF MASK,6,30.54,7150,0,0,58,60.52,68,30000,0,40.3,173.99,66,44820.11,179.77,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,54,AR  170772,FT MEADE,8123.35,-196.89,V,0,0,0,IRF MASK,6,24.7,741.42,0,0,57,139.52,67,30000,0,40.3,173.99,66,44820.11,179.89,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,55,AR  130819,FT MEADE,8143.442,-199.76,V,0,0,0,IRF MASK,6,21.88,1940,0,0,58,139.52,68,30000,0,40.3,173.99,66,44820.11,179.94,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,56,AR  210736,FT MEADE,8151.167,-198.92,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,60.52,68,30000,0,40.3,173.99,66,44820.11,179.95,249,16,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,57,AR  170769,FT MEADE,8180.4,-206.73,V,0,0,0,IRF MASK,6,15,1000,0,0,57,139.52,67,30000,0,40.3,173.99,66,44820.11,180.03,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,58,AR  210711,FT MEADE,8276.302,-208.23,V,0,0,0,IRF MASK,6,13.73,94,0,0,58,156.29,68,30000,0,40.3,173.99,66,44820.11,180.26,107,11,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,59,AR  170791,FT DETRICK,8398.562,-180.95,V,0,0,0,IRF MASK,21.1,22.73,94,0,0,58,44.94,68,30000,0,40.3,4.78,24.94,22816.53,187.89,144,38,302,0,-999,117.3,0.5
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,60,AR  180716,FT MEADE,8398.562,-199.52,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,139.52,68,30000,0,40.3,173.99,66,44820.11,180.55,144,38,302,0,-999,308,0.2
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,47,AR  130729,FT DETRICK,7976.687,-201.85,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,28.66,67.43,30000,3.59,37.3,79.14,41.65,18460.54,209.21,249,17,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,48,AR  170763,FT MEADE,7998.822,-198.43,V,0,0,0,IRF MASK,0,21.02,40000,0,0,58,51.01,68,30000,3.59,37.3,103.57,60.64,83739.34,182.52,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,49,AR  210737,FT MEADE,8023.562,-196.79,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,51.01,68,30000,3.59,37.3,103.57,60.64,83739.34,182.58,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,50,AR  170790,FT DETRICK,8026.167,-204.29,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,120.53,68,30000,3.59,37.3,79.14,41.65,18460.61,209.07,144,38,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,51,AR  180715,FT MEADE,8026.167,-196.79,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,135.2,68,30000,3.59,37.3,103.57,60.64,83739.34,182.59,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,52,AR  180711,FT MEADE,8045.237,-194.16,V,0,0,0,IRF MASK,0,25.41,5510,0,0,58,51.01,68,30000,3.59,37.3,103.57,60.64,83739.34,182.64,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,53,AR  180714,FT MEADE,8078.271,-189.12,V,0,0,0,IRF MASK,0,30.54,7150,0,0,58,51.01,68,30000,3.59,37.3,103.57,60.64,83739.34,182.73,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,54,AR  170772,FT MEADE,8123.35,-195.07,V,0,0,0,IRF MASK,0,24.7,741.42,0,0,57,135.2,67,30000,3.59,37.3,103.57,60.64,83739.34,182.84,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,55,AR  130819,FT MEADE,8143.442,-197.95,V,0,0,0,IRF MASK,0,21.88,1940,0,0,58,135.2,68,30000,3.59,37.3,103.57,60.64,83739.34,182.89,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,56,AR  210736,FT MEADE,8151.167,-197.12,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,51.01,68,30000,3.59,37.3,103.57,60.64,83739.34,182.91,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,57,AR  170769,FT MEADE,8180.4,-204.92,V,0,0,0,IRF MASK,0,15,1000,0,0,57,135.2,67,30000,3.59,37.3,103.57,60.64,83739.34,182.99,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,58,AR  210711,FT MEADE,8276.302,-206.43,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,164.44,68,30000,3.59,37.3,103.57,60.64,83739.34,183.23,107,11,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,59,AR  170791,FT DETRICK,8398.562,-205.36,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,120.53,68,30000,3.59,37.3,79.14,41.65,18460.61,210.14,144,38,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,3,X_1020200,FAA 201545,1,8395,-94,V,MD,60,AR  180716,FT MEADE,8398.562,-197.74,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,135.2,68,30000,3.59,37.3,103.57,60.64,83739.34,183.54,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,39,N   153584,ST INIGOES,7900,-144.09,V,0,0,0,IRF MASK,0,53.38,6880,0,0,40,139.84,50,30000,3.59,37.2,42.21,40.58,197297.98,180.49,144.3,39,194,-0.4,-999,152.5,-0.5
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,40,AR  120812,FT MEADE,7901.167,-172.94,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.12,41.95,92690.34,177.33,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,41,AR  130712,FT DETRICK,7901.167,-195.94,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,136.49,68,30000,3.59,37.2,30.98,37.23,30041.36,207.04,142,40,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,42,AR  130728,FT DETRICK,7901.167,-197.94,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.04,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,43,AR  130756,FT DETRICK,7901.167,-195.94,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.04,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,44,AR  130766,FT MEADE,7901.167,-172.94,V,0,0,0,IRF MASK,0,22.73,94,0,0,62,141.44,72,30000,3.59,37.2,58.12,41.95,92690.34,177.33,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,45,AR  130767,FT MEADE,7901.167,-170.94,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,141.26,68,30000,3.59,37.2,58.12,41.95,92690.34,177.33,145,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,46,AR  210709,FT MEADE,7901.302,-190.29,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,148.84,68,30000,3.59,37.2,58.12,41.95,92690.34,185.67,107,11,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,47,AR  130729,FT DETRICK,7976.687,-196.13,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.24,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,48,AR  170763,FT MEADE,7998.822,-183.26,V,0,0,0,IRF MASK,0,21.02,40000,0,0,58,68.28,68,30000,3.59,37.2,58.12,41.95,92690.34,185.94,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,49,AR  210737,FT MEADE,8023.562,-181.62,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.12,41.95,92690.34,186.01,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,50,AR  170790,FT DETRICK,8026.167,-198.31,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,139.02,68,30000,3.59,37.2,30.98,37.23,30041.41,207.42,144,38,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,51,AR  180715,FT MEADE,8026.167,-181.63,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,141.44,68,30000,3.59,37.2,58.12,41.95,92690.34,186.02,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,52,AR  180711,FT MEADE,8045.237,-179,V,0,0,0,IRF MASK,0,25.41,5510,0,0,58,68.28,68,30000,3.59,37.2,58.12,41.95,92690.34,186.07,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,53,AR  180714,FT MEADE,8078.271,-173.96,V,0,0,0,IRF MASK,0,30.54,7150,0,0,58,68.28,68,30000,3.59,37.2,58.12,41.95,92690.34,186.16,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,54,AR  170772,FT MEADE,8123.35,-179.92,V,0,0,0,IRF MASK,0,24.7,741.42,0,0,57,141.44,67,30000,3.59,37.2,58.12,41.95,92690.34,186.28,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,55,AR  130819,FT MEADE,8143.442,-182.79,V,0,0,0,IRF MASK,0,21.88,1940,0,0,58,141.44,68,30000,3.59,37.2,58.12,41.95,92690.34,186.33,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,56,AR  210736,FT MEADE,8151.167,-181.96,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.12,41.95,92690.34,186.35,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,57,AR  170769,FT MEADE,8180.4,-189.77,V,0,0,0,IRF MASK,0,15,1000,0,0,57,141.44,67,30000,3.59,37.2,58.12,41.95,92690.34,186.43,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,58,AR  210711,FT MEADE,8276.302,-191.3,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,148.84,68,30000,3.59,37.2,58.12,41.95,92690.34,186.68,107,11,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,59,AR  170791,FT DETRICK,8398.562,-199.25,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,139.02,68,30000,3.59,37.2,30.98,37.23,30041.41,208.36,144,38,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,4,X_1020200,FAA 201547,1,8035,-94,V,MD,60,AR  180716,FT MEADE,8398.562,-182.62,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,141.44,68,30000,3.59,37.2,58.12,41.95,92690.34,187.01,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),BOONSBORO,5,X_1020200_,FAA 201545,1,8125,-94,V,MD,39,N   153584,ST INIGOES,7900,-162.17,V,0,0,0,IRF MASK,0,53.38,6880,0,0,40,140.56,50,30000,3.59,37.3,130.78,62,178762.03,177.25,144.3,39,14,0.1,-999,324.8,-0.4
Microwave (wanted),BOONSBORO,5,X_1020200_,FAA 201545,1,8125,-94,V,MD,40,AR  120812,FT MEADE,7901.167,-189.01,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,51.01,68,30000,3.59,37.3,103.57,60.64,83739.34,174.81,249,16,14,0.1,-999,297.6,0.1
